Term,CourseNumber,Title,Instructor,Day,Time,Location,CourseType,EnrollLimit,Attributes
January 2014,MGMTE-5050,Strategic Resource Allocation and Planning,Philip Anthony Vaccaro,Mon|Tues|Wed|Thur,6 - 9:30 pm,Emerson Hall 104,On Campus Only,35,SRM|E
Spring 2014,CSCIE-8,Web GIS: Principles and Applications,Pinde Fu,Thur,7:40 - 9:40 pm,N/A,Web-Conference Course,50,E
Spring 2014,CSCIE-12,Fundamentals of Website Development,David P. Heitmeyer,Mon,7:40 - 9:40 pm,Maxwell-Dworkin G115,Online Option,No limit,WP|E
Spring 2014,CSCIE-17,Medical Informatics,Oleg Pianykh,Thur,5:30 - 7:30 pm,1 Story Street 307,Online Option,No limit,MGMT|E
Spring 2014,CSCIE-35,Essential Modern UI Windows 8.1 App Development and Cloud Computing,Joseph Ficara,Wed,7:40 - 9:40 pm,1 Story Street 303,Online Option,No limit,E
Spring 2014,CSCIE-40,Communication Protocols and Internet Architectures,Leonard Evenchik,N/A,N/A,N/A,Online Only,No limit,DCOM|E
Spring 2014,CSCIE-42,Internet Voice Video and Telepresence,Leonard Evenchik,Mon,5:30 - 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,E
Spring 2014,CSCIE-45B,Working in and Running the Cyberworld,Scott Bradner & Benoit Gaucherin,Fri,5:30 - 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,SRM|E
Spring 2014,CSCIE-55,Java for Distributed Computing,Charles M. Sawyer Jr.,N/A,N/A,N/A,Online Only,No limit,DC|E
Spring 2014,CSCIE-63,Big Data Analytics,Zoran B. Djordjevic,Fri,5:30 - 7:30 pm,1 Story Street 306,Online Option,No limit,E
Spring 2014,CSCIE-66,Database and Information Management Systems,David G. Sullivan,Wed,7:40 - 9:40 pm,1 Story Street 306,Online Option,No limit,DM|E
Spring 2014,CSCIE-67,Oracle Database Administration,Patrick McGowan,Tues,5:30 - 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,DM|E
Spring 2014,CSCIE-92,Principles of Operating Systems,James L. Frankel,Tues,7:40 - 9:40 pm,Science Center 109,On Campus Only,No limit,E
Spring 2014,CSCIE-171,Visualization,Hanspeter Pfister,N/A,N/A,N/A,Online Only,No limit,E
Spring 2014,CSCIE-186,Economics and Computation,David C. Parkes,N/A,N/A,N/A,Online Only,No limit,E
Spring 2014,DGMDE-25,Introduction to Web Content Management Systems Site Development,Jennifer A. Kramer,N/A,N/A,N/A,Online Only,No limit,E
Spring 2014,ENSCE-105,Engineering Innovation with Information Technology,Wego Wang,Tues,7:40 - 9:40 pm,Byerly Hall 013,Online Option,No limit,E
Spring 2014,ISMTE-155,Geographic Communication Today,Jeff Blossom,Mon,5:30 - 7:30 pm,53 Church Street 201,On Campus Only,30,E
Spring 2014,ISMTE-180,Building and Managing Business Intelligence Systems,Basem A Neseim,Mon,7:40 - 9:40 pm,Northwest Science Building B108,On Campus Only,24,E
Spring 2014,ISMTE-200,Capstone Seminar in Enterprise Systems,Zoya Kinstler & Bob Wittstein,Mon,7:40 - 9:40 pm,Northwest Science Building B104,On Campus Only,20,CAP
Spring 2014,MGMTE-1600,Managerial Accounting,Richard L. Keith,Thur,5:30 - 7:30 pm,1 Story Street 306,Online Option,70,E
Spring 2014,MGMTE-4000,Organizational Behavior,Carmine P. Gibaldi,Thur,5:30 - 7:30 pm,N/A,Web-Conference Course,35,E
Spring 2014,MGMTE-4000,Organizational Behavior,Ellen Harris,Mon,7:40 - 9:40 pm,Pound Hall 204,On Campus Only,38,E
Spring 2014,MGMTE-4000,Organizational Behavior,Jennifer Kay Stine,Wed,5:30 - 7:30 pm,N/A,Web-Conference Course,30,E
Spring 2014,MGMTE-4000,Organizational Behavior,Jennifer Kay Stine,Thur,5:30 - 7:30 pm,Sever Hall 106,On Campus Only,38,E
Spring 2014,MGMTE-4000,Organizational Behavior,Carmine P. Gibaldi,Tues,5:30 - 7:30 pm,N/A,Web-Conference Course,35,E
Spring 2014,MGMTE-4030,Leading through Change,Harold V. Langlois & Kathrine Suzanne Livingston,Tues,5:30 - 7:30 pm,53 Church Street L01,Online Option,60,E
Spring 2014,MGMTE-4170,Managing Virtual Teams,M. Myra S. White,Mon,5:30 - 7:30 pm,N/A,Web-Conference Course,38,MGMT|E
Spring 2014,MGMTE-5040,Project Management of Information Technology,Jeffrey E. Francis,Mon,7:40 - 9:40 pm,CGIS South S020,On Campus Only,50,MGMT|E
Spring 2014,MGMTE-5070,Data Mining and Forecast Management,Philip Anthony Vaccaro,Tues,7:40 - 9:40 pm,Emerson Hall 104,On Campus Only,35,SRM|E
Spring 2014,MGMTE-5450,Launching an e-Commerce Start-up,Kishan Mallur,Tues,5:30 - 7:30 pm,53 Church Street 201,On Campus Only,30,MGMT|E
Fall 2013,CSCIE-15,Dynamic Web Applications,Susan Buck,Wed,5:30 - 7:30 pm,Maxwell-Dworkin G115,Online Option,No limit,WP|E
Fall 2013,CSCIE-18,Web Development Using XML,David P. Heitmeyer,Mon,7:40 - 9:40 pm,1 Story Street 304,Online Option,No limit,WP|E
